Sample in Buffer,Sample in Window,TRIGGER,g_ila.axis_ila_wrapper_1/data_out_12b[0][0][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[0][1][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[0][2][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[0][3][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[1][0][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[1][1][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[1][2][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[1][3][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[2][0][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[2][1][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[2][2][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[2][3][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[3][0][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[3][1][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[3][2][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[3][3][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[4][0][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[4][1][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[4][2][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[4][3][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[5][0][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[5][1][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[5][2][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[5][3][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[6][0][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[6][1][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[6][2][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[6][3][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[7][0][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[7][1][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[7][2][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[7][3][11:0],g_ila.axis_ila_wrapper_1/rx_sync
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
1994,1994,0,a60,c9b,64f,322,33c,5fa,c74,aab,5af,c3d,af9,42e,6ae,30a,889,cfe,304,82d,d06,896,cf9,8e4,31f,64c,4a5,3f0,ab0,c71,b42,46f,42d,afc,0
1995,1995,0,8e7,cfa,7d8,2f4,3f4,4a7,b7e,bda,463,b38,c15,560,834,303,6f8,ccf,313,6a5,cc0,a14,c9a,a5d,3bc,4f4,5f8,334,937,cf6,c4b,5b2,35d,99e,0
1996,1996,0,755,ceb,969,347,516,3ae,a3a,caf,380,9e4,cc7,6cc,9c0,36d,585,c2d,39a,53f,bfe,b64,bbf,b95,4c6,3d8,77b,2ef,7ad,cf5,cdf,72b,2f9,813,0
1997,1997,0,5d9,c5e,acf,408,676,319,8bb,cfd,304,862,d03,859,b15,448,44a,b19,48b,40f,adc,c59,a89,c87,61a,32a,908,323,62b,c89,d05,8b8,31b,68b,0
1998,1998,0,490,b66,bf4,52d,7fe,2f8,730,ce1,301,6d2,cc7,9e5,c26,57f,372,9c5,5d1,350,977,ceb,91c,cf7,79c,2f0,a81,3cf,4d2,ba3,cb1,a39,3a9,51f,0
1999,1999,0,39a,a18,cb7,694,987,34f,5bb,c4b,379,56a,c18,b32,cd2,6f4,2fe,841,74f,2f8,7e9,d06,789,cf2,92b,330,bb0,4de,3c8,a6d,be1,b78,4a7,407,0
2000,2000,0,308,8a2,d04,826,aed,422,469,b49,464,435,aff,c42,d0a,882,307,6b8,8dc,324,663,ca8,607,c74,aa0,3e4,c8f,63d,31d,8f9,ac2,c6a,5f1,346,0
2001,2001,0,2fb,709,cd8,9ad,c08,554,386,9f6,59d,35e,9a0,cdc,cbe,a00,38d,547,a54,3bc,504,bcf,4b2,b88,bc6,4ff,cf7,7cb,2f3,767,950,cf3,770,2fe,0
2002,2002,0,360,596,c38,b0a,cc3,6bf,300,876,71a,2fb,814,cfb,bfc,b52,483,41b,b95,4c3,3e8,a9e,3b0,a46,c9d,665,ced,94f,33c,5df,7c9,cf9,906,331,0
2003,2003,0,439,455,b2c,c23,d08,848,2fe,6ea,8a6,312,68f,cb4,ae8,c4e,5c1,34c,c80,615,339,930,310,8d1,cfd,7eb,c62,aba,403,49c,63e,c8d,a7b,3ca,0
2004,2004,0,571,36f,9d4,cce,ccc,9d1,36e,575,a1c,3a2,528,beb,983,ce3,73c,2f9,cf8,79d,2fa,79b,2f5,742,cdf,978,b74,bea,51e,399,4dd,bb3,bae,4e3,0
2005,2005,0,6da,303,855,d07,c1d,b27,45d,442,b6c,4a0,406,ac0,7f6,cfe,8cf,317,cf8,929,332,619,34b,5c6,c52,ae1,a28,cb1,680,30e,3cf,a7d,c8d,63b,0
2006,2006,0,870,30a,6cc,cc0,b10,c35,58c,361,c62,5e4,343,958,66e,ca0,a4a,3b2,c89,a9a,3e3,4c7,417,47b,b51,c04,8a7,d04,810,2f3,331,906,d01,7bb,0
2007,2007,0,9f6,386,555,c09,9bb,cd3,709,300,ced,761,2ef,7d3,508,bcc,b88,4b4,b9a,bc7,4fc,3b8,540,38a,a06,cb9,71c,cdf,99b,35b,2f7,77f,cf0,947,0
2008,2008,0,b47,475,425,af7,829,d03,896,309,cf9,8f3,323,648,3f1,aa0,c76,608,a59,c9f,65b,31f,6b5,304,882,d04,5a0,c3b,afc,42a,344,5fa,c73,ab9,0
2009,2009,0,c4b,5b5,357,990,69e,cb9,a0f,38d,c8f,a68,3c6,4e6,333,934,cf8,788,8e0,cff,7e3,2f7,83a,2fc,6f6,cd0,45f,b3a,c11,55c,3fd,4ac,b81,be4,0
2010,2010,0,cde,72b,2fe,800,532,bf4,b64,48c,bbc,baa,4d1,3d4,2f3,7ac,cfe,912,757,cec,96c,34f,9b8,368,580,c2a,379,9e8,cc6,6c6,51c,3ac,a37,caf,0
2011,2011,0,d04,8ba,318,677,40e,ad2,c5d,5d4,a82,c86,623,32c,332,626,c83,a88,5d7,c5e,ad8,413,b15,448,443,b1c,302,860,d03,85b,686,318,8c2,d05,0
2012,2012,0,cab,a36,3a6,51a,347,96f,ce9,752,914,cf8,7af,2f2,3d8,4c8,ba3,bbd,48b,b67,bfc,533,c2b,580,368,9c4,300,6cb,cc9,9e0,80d,2fe,732,cea,0
2013,2013,0,bd9,b7b,4ad,3f4,2f3,7e4,d00,8df,785,cef,93e,336,4f3,3c1,a68,c9d,396,a1a,cba,6a3,cd3,6f2,2fc,83a,376,560,c15,b2d,98f,355,5b6,c48,0
2014,2014,0,aac,c70,5f6,339,31e,654,c9a,a55,5f9,c70,aa7,3f0,64d,323,8ee,cfb,311,89d,d04,831,d03,87e,305,6a9,45e,433,afd,c42,af5,42b,475,b4c,0
2015,2015,0,948,cf0,776,2f7,3bb,4f6,bc0,b94,4ae,b87,bd6,50a,7d5,2f6,75e,cee,305,70f,cd8,9b6,cb8,a01,38e,53f,59f,355,99b,cdb,c0e,555,38a,9f6,0
2016,2016,0,7ba,cf6,904,32f,4c3,3e1,a91,c7e,3b6,a47,ca6,675,964,346,5e1,c64,369,599,c37,b0f,bfe,b51,479,417,719,2f5,819,d00,cc8,6c2,309,87e,0
2017,2017,0,637,c8e,a7b,3d0,618,332,923,cf6,315,8c4,d00,7f7,ac8,408,491,b6d,44d,455,b2f,c2b,ae0,c4d,5c5,34b,8ad,30b,68f,ca8,d0c,859,306,6e4,0
2018,2018,0,4db,ba9,bae,4e5,79e,2f8,792,cf5,2f4,738,cde,981,bed,527,395,a21,577,379,9d4,cd3,97a,ce6,73e,2f6,a21,39e,520,be6,ccc,9d9,37c,573,0
2019,2019,0,3c4,a72,c8f,63a,92d,334,612,c7e,34b,5c1,c51,ae8,cb0,695,30f,8a4,6ef,303,84e,d0a,7e9,cfe,8cc,31c,b6d,497,3fd,ac4,c23,b31,464,439,0
2020,2020,0,32b,8fd,cfb,7c1,aa0,3e5,4b9,b93,41c,47f,b4f,c0a,d00,823,2f9,70f,87c,30b,6bb,cc1,665,c9d,a45,3af,c60,5df,33a,94f,b0d,c34,597,366,0
2021,2021,0,2fa,76f,cec,957,bd0,4f6,3b8,a51,54b,389,9f8,cc2,cd8,9ab,365,598,9fa,38d,553,c0c,502,bcc,b87,4b4,ce6,764,2f2,7c7,9b0,cda,70e,301,0
2022,2022,0,33e,5f2,c6d,ab8,c9f,660,325,8da,6b2,30b,87e,d02,c3e,b0c,437,462,b4f,47c,422,af6,3e7,aa0,c78,604,cfd,8ee,31f,640,830,d05,89f,317,0
2023,2023,0,3fe,4a5,b78,be2,cf7,7ef,2fa,74c,845,2f9,6ee,cd2,b34,c1c,571,37a,c4d,5bb,35e,98a,32e,92f,cf0,787,c8d,a6b,3c5,4e0,699,cb7,a1c,39e,0
2024,2024,0,51c,3a2,a33,cb2,ce8,973,350,5cc,9d1,36e,57a,c27,9da,cca,6de,300,ce2,733,2f5,802,2f6,7a8,cf3,915,bb4,ba2,4cf,3d2,533,bf8,b6a,492,0
2025,2025,0,681,310,8b4,cfd,c55,ad3,418,484,b21,450,441,b18,857,d03,86b,305,d04,8c7,31a,67d,32a,61c,c83,a8a,a86,c89,627,325,406,acf,c63,5d8,0
2026,2026,0,80e,2fb,721,ce4,b5c,bfb,53c,38e,c2e,589,366,9b4,6c8,cc8,9ef,383,caa,a3f,3ad,511,3dc,4c9,b9d,bbc,90d,cf6,7ae,2ed,34d,96b,cf1,75a,0
2027,2027,0,992,358,5a9,c46,a10,cbd,6a4,309,cd6,6f7,301,82e,55c,c0b,b40,467,bd8,b82,4b2,3f6,4f1,3ba,a60,c91,77a,cef,93d,335,2f6,7da,d01,8ee,0
2028,2028,0,af2,432,46b,b39,893,d09,833,300,d01,88d,304,6a1,428,afc,c43,5af,ab3,c70,5ff,33d,64b,31d,8e9,cfc,5ff,c6f,aa9,3e9,324,657,c99,a5f,0
2029,2029,0,c11,560,37f,9e9,701,cd7,9b8,368,cb4,a10,395,533,350,994,cdc,726,94c,cf5,781,2ff,7dc,2f3,753,ce9,4b0,b80,bd1,50d,3c6,4f0,bc5,ba4,0
2030,2030,0,cc7,6cb,301,86d,587,c2c,b13,448,bf8,b5e,484,411,2f7,80f,d00,8b5,7b7,cfb,90e,327,95e,343,5d9,c57,3a3,a38,ca5,672,4ce,3db,a93,c84,0
2031,2031,0,d03,85a,306,6d7,450,b1f,c2b,57f,ad6,c55,5cc,348,314,680,cab,a31,62f,c8b,a80,3d2,ac1,405,48e,b6a,311,8c7,cfe,7fc,626,334,91e,cfa,0
2032,2032,0,cce,9db,37d,56a,372,9c4,cd0,6f5,971,ce6,74b,2f7,3a2,51b,bdb,b76,4d4,bab,bb8,4ea,bec,529,395,a19,2f5,730,cdd,989,7a4,2fa,791,cf3,0
2033,2033,0,c16,b38,461,436,2ff,843,d04,87c,7e5,d03,8d7,31b,4a5,3f9,ab7,c70,3cb,a74,c95,646,cb5,690,307,89f,34f,5b6,c4e,ae9,93b,33a,614,c79,0
2034,2034,0,b07,c3b,59c,359,30d,6bd,cbf,9fe,65f,c9b,a52,3bb,5f1,334,94c,cec,328,8fe,cfb,7d3,d01,81d,2f9,70e,41e,478,b4a,c07,aa4,3ea,4bc,b89,0
2035,2035,0,9a5,cd8,714,2f9,385,546,c05,b4b,4fe,bc9,b95,4bb,773,2fb,7c0,cf6,2f7,76c,cf1,959,cd7,9ab,35d,597,54a,380,9fb,cbd,bd8,504,3bb,a57,0
2036,2036,0,81d,d05,8a2,312,47d,420,aee,c53,3e2,a95,c7d,611,907,328,63b,c8b,348,5eb,c69,ac4,c3c,b02,43c,453,6b4,303,875,d01,c9f,65f,324,8d8,0
2037,2037,0,690,cb0,a1f,397,5c5,351,985,ce4,331,927,cf4,798,a72,3ca,4d7,bad,410,4a4,b74,beb,b2d,c1b,564,374,846,2fb,6e9,cd0,d04,7f2,2fd,74d,0
2038,2038,0,529,bf0,b6e,496,73f,2f7,7f7,d04,2f7,796,cf3,924,bad,4e0,3d1,a76,52b,39f,a2f,cb4,9d5,cc6,6d1,2fe,9d1,36d,56b,c1b,ce5,97e,356,5c6,0
2039,2039,0,408,aca,c63,5e4,8cd,314,672,caa,332,615,c78,a94,c88,634,328,903,68d,318,8ad,d06,84d,d00,868,301,b1f,453,43c,b15,c5b,ae0,418,486,0
2040,2040,0,348,95d,cf1,75c,a40,3b4,507,bce,3e4,4c2,b94,bce,cf3,7b9,2f5,776,817,302,720,cd8,6c5,cbc,9e8,37c,c33,58a,361,9b4,b5b,c00,546,390,0
2041,2041,0,2f4,7d5,d04,8f0,b89,4b0,3f0,aac,4fb,3bd,a57,c96,cf1,94b,337,5f3,9a3,364,5a5,c46,555,c08,b3d,46b,ccf,707,2f4,82e,a0f,cbd,6aa,30e,0
2042,2042,0,323,652,c8d,a66,c77,5ff,338,93c,65b,320,8dd,d02,c6a,ab5,3f9,4a4,b04,436,473,b3c,424,aef,c40,5ab,d08,891,30b,6a1,884,d07,83d,300,0
2043,2043,0,3ca,4ee,bb8,ba3,cf5,781,2fb,7a9,7de,2f7,751,ce7,b7c,be3,513,3a6,c1e,562,387,9e5,34b,992,cdc,726,cb8,a0f,391,538,6ff,cda,9be,371,0
2044,2044,0,4cc,3d7,a8e,c7c,cf5,90f,334,62d,96d,346,5ce,c58,a37,ca6,67f,314,cc8,6d4,307,868,2f3,801,cfb,8b0,bee,b5c,484,40f,58a,c2f,b19,44c,0
2045,2045,0,627,329,91a,cf9,c83,a83,3da,4cf,ad3,414,489,b5c,8b9,d00,802,2fc,d07,85e,306,6d9,30d,672,ca8,a32,ad8,c58,5cc,340,450,b1e,c2c,582,0
2046,2046,0,7a9,2f8,789,cf3,ba0,bbd,4ec,3c1,bf5,533,398,a11,724,cde,990,35e,ccd,9e8,37d,562,3a3,511,bdb,b79,968,ce3,747,2ef,372,9c8,cda,6fa,0
2047,2047,0,938,33e,606,c73,a6c,c9a,646,323,cbc,6a4,307,897,5b5,c44,af2,42f,c1d,b3a,467,437,4a0,3f5,ab6,c68,7e0,cfb,8dd,318,2ff,83f,d05,885,0
2048,2048,1,aab,3ee,4bc,b88,8f0,cf7,7c9,2f7,d06,82d,2fd,707,473,b44,c06,552,b01,c42,5a8,363,5ef,32f,951,cef,658,c9d,a50,3b6,312,6be,cc0,a08,0
2049,2049,0,bd7,507,3af,a45,76a,cf0,95b,348,cd6,9b0,363,58c,381,9f0,cc6,6ca,9a0,cdd,71c,304,771,2ed,7ba,cf7,4f9,bc8,b96,4c7,38f,547,c04,b5b,0
2050,2050,0,ca4,668,31b,8cf,5df,c65,ac5,407,c2e,b09,443,455,304,86f,d00,84e,81a,d07,8a7,315,901,323,63a,c8b,3e0,a91,c7e,612,485,423,ae7,c58,0
2051,2051,0,d02,7f4,2fa,73b,498,b69,bef,52c,b2d,c2a,578,373,300,6e5,cce,9d4,68f,cb4,a2a,3a5,a78,3cd,4db,bae,32e,925,cf3,78f,5cf,354,981,ce6,0
2052,2052,0,ce3,97f,352,5bf,39d,a23,cb7,68b,9cc,ccb,6ea,301,375,56f,c1c,b2e,529,beb,b74,49c,bad,4d7,3ca,a7b,2ee,79e,cf5,926,745,2fe,7f6,d03,0
2053,2053,0,c50,ae8,418,480,30d,8aa,d04,81b,84a,d02,871,30c,460,434,b07,c37,408,ac9,c6b,5e7,c8e,631,31e,8ff,332,613,c7c,a99,8d4,31e,66a,ca4,0
2054,2054,0,b4c,bfd,549,38d,2ff,716,cdb,9a9,6b8,cc1,a01,388,594,363,9a9,cd8,349,961,cf1,767,cfe,7bc,2ed,771,3db,4bd,b92,bc8,a4d,3b8,507,bd5,0
2055,2055,0,9fc,cc1,6b2,30b,35e,59d,c3b,aff,54a,c07,b4a,477,714,300,82c,d00,2f9,7ce,d02,8f8,ced,94a,333,5e6,4f9,3b9,a54,c9a,b94,4c0,3e6,aa2,0
2056,2056,0,87b,d03,83b,2fd,437,463,b35,c18,424,aee,c4b,5bc,89b,308,69d,cb7,327,646,c93,a70,c67,ab6,3ff,49e,65e,316,8d9,d00,c80,608,33f,93f,0
2057,2057,0,6f1,cd5,9c6,36d,566,375,9dd,ccc,351,98b,ce3,731,a1f,397,533,bec,3ce,4ec,bbc,baa,b75,bdf,515,3a3,7e4,2f3,748,ce2,cf6,78c,2fa,7a8,0
2058,2058,0,57a,c24,b24,44e,6da,2fe,859,d05,300,7f8,cfc,8c7,b6c,494,406,aca,4d5,3d5,a83,c8b,a30,caa,67d,30d,963,345,5c8,c58,cf8,91c,332,623,0
2059,2059,0,444,b1b,c29,586,868,30b,6d1,cc1,317,673,cac,a3a,c62,5d5,346,95f,631,32c,916,cfb,8b2,cfd,804,2f5,ad8,408,485,b5b,c8c,a89,3e6,4cf,0
2060,2060,0,36c,9b8,cd6,702,9e6,381,55d,c14,3aa,50f,bd9,b82,cea,757,2f3,7d6,7b1,2fa,782,cf8,722,cdd,994,34e,bf6,533,38e,a16,b9c,bc3,4f6,3c6,0
2061,2061,0,2fb,834,d06,888,b3d,46a,42e,afa,4a9,3f1,aa9,c6e,d01,8e9,319,64d,93f,335,608,c76,5a9,c3f,af8,427,cba,69c,307,891,a66,c94,650,31f,0
2062,2062,0,30c,6b2,cba,a08,c47,5a6,35c,997,5f8,339,940,cf3,c97,a5a,3c6,4ed,aab,400,4bc,b82,469,b36,c0f,557,d04,82b,2fd,706,8ed,d06,7db,2f9,0
2063,2063,0,38e,53a,bfa,b5a,ce1,725,2f7,80a,777,2f4,7ac,cfe,bba,b99,4c8,3da,bdc,514,3b2,a43,380,9e6,cc6,6c0,cd5,9b4,366,584,75f,cee,963,344,0
2064,2064,0,483,413,add,c54,d03,8b2,314,687,90a,32d,62f,c87,a90,c85,61e,32e,cab,67a,31c,8ca,2fe,864,d04,853,c29,b11,43c,444,5e1,c65,acd,40e,0
2065,2065,0,5d4,349,975,cea,cae,a2f,3a7,51f,a80,3d4,4d1,ba4,91c,cf8,7a2,2f5,d05,7fe,2ff,739,2fb,6dc,cca,9da,b24,c28,574,36f,494,b6b,bf4,52f,0
2066,2066,0,748,301,7eb,d03,be5,b7a,4a0,3f4,bb9,4e3,3c2,a6d,78e,ceb,92f,335,ce2,988,358,5c0,375,562,c20,b2f,9cf,cd0,6ed,2f9,39f,a1d,cb8,697,0
2067,2067,0,8d2,320,65f,c9f,abc,c6a,5eb,33e,c91,642,325,8fb,603,c75,aa0,3ed,c52,af1,423,47d,45f,43c,b0a,c37,844,d01,876,304,315,8a1,d07,822,0
2068,2068,0,a52,3b4,501,bce,951,cf0,76f,2f2,cfb,7d0,2f6,761,4be,b8a,bd3,508,b4f,c05,553,38b,594,35b,9a6,cd3,6b7,cbd,9fd,387,300,71a,ce3,9ae,0
2069,2069,0,b8f,4ba,3e2,a97,7c2,cfd,8fb,325,cee,958,340,5e3,3b6,a4a,c9d,667,a04,cc7,6bd,30c,70b,2f2,81e,cfe,54a,c03,b48,472,364,5a3,c3b,b09,0
2070,2070,0,c7e,60d,335,92a,63e,c8d,a72,3d2,c5e,ac1,3fe,49a,318,8d4,cfd,7ec,87a,d0c,84d,305,8a1,310,692,cb2,41b,ae7,c43,5b8,444,45f,b30,c22,0
2071,2071,0,cf6,78d,2f5,796,4e5,bb0,bad,4da,b71,be8,520,3a5,2f8,742,ce6,97f,6ed,ccd,9cd,375,a18,392,528,beb,349,989,ce0,734,56d,37f,9da,cce,0
2072,2072,0,cf7,923,331,619,3cf,a7c,c89,633,a2b,cb1,68d,30f,350,5c1,c53,ae6,57b,c2c,b27,45d,b6b,48b,400,ac5,2f3,7f7,d05,8c9,6e2,30b,856,d04,0
2073,2073,0,c80,a8e,3dd,4c6,32e,908,cfd,7b9,8b3,cfd,811,2f7,415,47d,b55,bfc,445,b15,c37,58d,c5c,5d5,340,95b,30b,671,ca6,a38,874,308,6c9,cc7,0
2074,2074,0,b98,bca,4f7,3b8,2f8,77c,cec,947,721,cd7,99d,35d,53f,38d,a02,cbd,371,9b9,cd3,704,ce4,753,2f3,7d4,3ac,50b,bcb,b80,9f4,38e,55a,c13,0
2075,2075,0,a5a,ca4,653,31c,337,5f9,c6e,ab6,5a4,c3a,afe,436,6ad,302,88c,d04,300,82e,d07,893,cf9,8e6,31a,646,4b3,3f2,aa8,c6f,b4a,46c,42a,af7,0
2076,2076,0,8e1,d02,7e2,2f8,3f7,4ae,b81,be1,462,b3c,c17,567,837,2fc,6f7,cd1,30c,6a8,cbe,a0d,c9c,a5c,3b8,4e8,5fb,335,937,cf3,c4b,5ae,35c,996,0
2077,2077,0,759,cf0,96c,345,512,3a2,a39,ca9,379,9e2,cc9,6d4,9c5,36a,584,c2f,394,53e,bff,b5e,bc2,b97,4c7,3d1,784,2ec,7af,cf2,cde,72a,302,80c,0
2078,2078,0,5dc,c5c,ad3,40c,677,310,8bd,d00,305,862,cfe,861,b17,44a,448,b20,48d,410,adc,c5a,a83,c84,61e,32b,909,326,621,c81,d03,8bb,31a,688,0
2079,2079,0,48b,b66,bf5,532,801,2f8,734,ce4,305,6d3,cc7,9e0,c2e,584,366,9be,5d5,34b,974,ced,918,cf4,7a6,2f1,a77,3cb,4d3,ba6,ca9,a3d,3ac,51b,0
2080,2080,0,392,a18,cb6,6a0,987,358,5b4,c49,37b,567,c13,b38,cd6,6f3,302,83b,753,2f8,7e5,d01,787,ced,932,335,bb1,4e8,3c0,a6b,be3,b82,4ab,3fb,0
2081,2081,0,307,896,d04,82a,af5,422,474,b48,469,432,aff,c3b,d07,889,30d,6ad,8df,320,65c,c9c,604,c73,aa4,3eb,c8c,645,31e,8f4,abc,c71,5f8,33f,0
2082,2082,0,2f9,706,cd5,9b2,c13,54e,380,9f6,5a9,35a,99c,ce0,cc3,a0f,38e,542,a5c,3bf,4fd,bce,4b2,b88,bcb,500,cf7,7c9,2f4,75c,94e,cf4,778,2f9,0
2083,2083,0,364,592,c36,b0e,cc2,6c3,307,872,71d,2fe,818,d04,c03,b51,484,416,b98,4c2,3e5,a9b,3ac,a4d,c9f,665,ceb,95a,33b,5e4,7c0,d00,906,32d,0
2084,2084,0,440,452,b29,c1f,d05,84e,303,6e3,8ac,30c,68f,cac,ae3,c58,5c8,34c,c88,61f,336,92f,310,8c6,d03,7f0,c64,abc,400,494,63e,c92,a7b,3d2,0
2085,2085,0,56f,371,9d4,cd4,ccd,9d6,375,571,a2c,3a7,524,bec,979,ce4,746,2f9,cf5,79f,2fc,79f,2f7,736,cde,97e,b6e,beb,522,39e,4dc,bb4,bb4,4df,0
2086,2086,0,6e8,304,84f,d03,c1e,b2e,458,43a,b71,49c,403,ac4,7ef,d02,8d0,31a,cfc,92b,334,619,349,5bf,c49,adc,a22,cb3,68a,30a,3cb,a7b,c99,63a,0
2087,2087,0,878,304,6c3,cc1,b0c,c33,59b,360,c67,5e3,346,952,664,ca2,a4c,3b7,c83,a9f,3e7,4c6,41a,47a,b50,c00,8a7,d04,813,2f5,32d,906,cfd,7c4,0
2088,2088,0,9f4,384,553,c0e,9b1,cda,70d,2fa,cf1,75f,2f7,7cb,503,bcb,b8e,4b3,b9b,bca,4fd,3bc,540,387,a03,cb9,717,cd8,99b,357,2f8,777,ce6,94f,0
2089,2089,0,b4a,47a,420,af0,829,d07,895,30e,d00,8fe,31f,642,3eb,a9e,c78,608,a59,c9d,661,31f,6af,30a,87f,d02,59d,c38,afd,42e,343,5f7,c72,abb,0
2090,2090,0,c46,5b6,354,98b,69b,cb8,a15,393,c93,a6c,3c5,4ed,333,933,cf5,78e,8e2,d04,7e1,2fc,83f,2fb,6f1,cd3,45d,b35,c15,55e,3fb,4a5,b78,be4,0
2091,2091,0,ce7,731,2fd,802,531,bf4,b64,490,bb3,ba8,4cf,3d0,2ec,7ab,cef,919,754,ce8,975,349,9c0,367,580,c25,374,9e0,cc7,6cc,51c,3a9,a3a,cb4,0
2092,2092,0,cfe,8bf,322,67b,407,ace,c5b,5d5,a7e,c89,62c,327,334,620,c80,a8b,5d1,c5e,ad4,417,b20,44a,443,b10,300,85b,d03,862,684,31b,8b8,d06,0
2093,2093,0,ca6,a36,3a9,514,347,963,cea,754,90f,cf9,7b7,2f1,3dc,4c0,b97,bc4,48d,b64,bff,53a,c2d,580,36b,9bc,302,6d2,cc6,9e7,811,2fc,72c,ce3,0
2094,2094,0,bdc,b7d,4ab,3f4,2fa,7de,d01,8e2,780,cf4,942,33b,4ed,3c2,a5d,c99,39a,a14,cb7,6a5,cd0,6f5,2fb,839,382,563,c0d,b39,995,360,5b4,c4a,0
2095,2095,0,aad,c6b,5f9,33c,321,64e,c97,a5b,5fe,c72,ab4,3f4,650,322,8e3,d00,313,896,d05,838,d01,884,305,6aa,464,42d,afa,c41,af8,427,473,b46,0
2096,2096,0,942,cf3,777,2f0,3c0,4f9,bc5,b99,4ac,b85,bd5,50a,7d6,2f7,759,ce8,302,706,cdc,9b4,cbe,9ff,38f,53a,59a,359,9a0,cd8,c11,559,384,9f4,0
2097,2097,0,7b6,cfb,90b,327,4c2,3e0,a8a,c81,3ac,a40,ca8,674,965,343,5d9,c61,36d,591,c36,b1c,bfc,b51,481,414,71f,2f7,811,d00,ccb,6cb,307,871,0
2098,2098,0,62a,c8c,a7c,3d3,619,333,91b,cf6,30e,8c1,d04,7f8,acf,40a,48f,b63,447,456,b26,c26,adb,c50,5c3,349,8ab,311,685,cac,d07,84e,30c,6e4,0
2099,2099,0,4d5,ba8,bb4,4e4,79c,2f0,790,cf6,2fa,730,ce3,986,bf0,52f,39c,a20,57c,376,9d4,cd7,974,cdc,73d,2f5,a27,39c,51c,bea,cce,9e0,37c,570,0
2100,2100,0,3c7,a6b,c90,637,92c,332,612,c7a,351,5b7,c4a,af1,cb3,694,30f,8a1,6f0,304,847,d07,7ef,cf9,8d4,315,b70,49c,3f9,abc,c1e,b34,461,43d,0
2101,2101,0,322,8fa,cfc,7c3,a98,3e6,4bb,b8c,428,475,b4c,c07,d07,81e,2f9,70c,881,30d,6bd,cbe,664,c9d,a4c,3b2,c64,5e7,339,953,b0c,c39,59a,361,0
2102,2102,0,2f0,76d,cf3,954,bd5,4ff,3b1,a4f,54f,386,9fd,cc0,cd5,9aa,366,5a1,9fe,38b,551,c07,4ff,bcb,b8d,4b3,ceb,765,2ee,7c5,9ad,cdf,716,301,0
2103,2103,0,33c,5e5,c63,abf,c9c,664,315,8da,6c5,30c,879,d03,c3b,b08,440,457,b55,47c,425,ae8,3e3,a96,c77,60d,d00,8f6,322,641,827,d0e,8a2,310,0
2104,2104,0,401,4a2,b74,bf0,d05,7ea,2f4,748,84b,303,6ee,cd1,b30,c1d,56e,375,c52,5bb,353,989,32b,92b,cf5,789,c8f,a6f,3c4,4e3,694,cb5,a26,3a1,0
2105,2105,0,513,39e,a31,cb2,ce9,974,347,5cc,9d0,372,574,c26,9d7,cd3,6e3,2fb,ce6,736,2fb,7fc,2f0,79f,ced,91f,bb5,ba8,4d8,3cd,530,bf6,b71,493,0
2106,2106,0,689,310,8ab,d00,c5b,ad5,415,483,b2b,455,440,b0c,855,d01,86d,2fe,d06,8c7,31f,672,327,612,c7e,a8b,a7c,c84,62d,324,407,ace,c64,5e1,0
2107,2107,0,80e,2f7,721,cdd,b57,c05,53e,390,c33,58f,365,9b4,6c9,cc4,9f4,382,caf,a44,3b3,510,3d7,4c7,b95,bc3,906,cf3,7b4,2f4,343,965,cec,75b,0
